13950
AIRLINE	FLIGHT_NUMBER	ORIGIN_AIRPORT	DESTINATION_AIRPORT	SCHEDULED_DEPARTURE	SCHEDULED_ARRIVAL	DISTANCE
F9	1291	FLL	CVG	1035	1315	932
AA	2356	ORD	SFO	1035	1315	1846
F9	1121	RSW	CLE	1035	1315	1025
WN	3764	FLL	ISP	1035	1325	1092
WN	4122	MEM	MCO	1035	1325	684
B6	460	FLL	BDL	1035	1326	1173
WN	397	BWI	LAX	1035	1340	2329
EV	4615	BNA	EWR	1035	1341	748
F9	244	DEN	IAH	1035	1349	862
DL	2607	LGA	PBI	1035	1400	1035
B6	1753	FLL	SJU	1035	1405	1046
DL	1175	ABQ	MSP	1035	1406	981
AA	1375	ORD	RSW	1035	1415	1120
DL	2511	TUS	MSP	1035	1446	1298
WN	1768	PHX	MKE	1035	1450	1460
F9	1060	PHX	ORD	1035	1455	1440
AS	80	ANC	SEA	1035	1502	1448
VX	218	SFO	AUS	1035	1600	1504
WN	1722	LAX	MKE	1035	1625	1756
AA	1265	LAX	CMH	1035	1755	1995
UA	319	MCO	IAH	1036	1210	854
EV	4711	EWR	STL	1036	1230	872
OO	4990	ICT	ORD	1036	1230	588
MQ	3527	PNS	MIA	1036	1316	530
OO	5265	SLC	IAH	1036	1434	1195
EV	3965	ORD	SDF	1037	1259	287
B6	1274	CHS	JFK	1038	1219	636
NK	927	ORD	MCO	1038	1415	1005
EV	4199	IAH	CLE	1038	1425	1091
DL	670	ATL	SDF	1039	1200	321
WN	4990	DAL	ELP	1040	1125	562
WN	317	OKC	LAS	1040	1125	986
MQ	3397	EYW	MIA	1040	1126	125
MQ	3241	DFW	ABI	1040	1128	158
WN	480	HOU	CRP	1040	1130	187
OO	2632	ORD	MKE	1040	1130	67
OO	6327	LAX	SAN	1040	1135	109
MQ	3656	DFW	SJT	1040	1138	229
AA	1289	DFW	AUS	1040	1140	190
WN	206	OAK	BUR	1040	1145	325
OO	5260	SFO	FAT	1040	1146	158
AS	725	SLC	SEA	1040	1147	689
MQ	2989	DFW	LBB	1040	1148	282
WN	2142	AUS	SAN	1040	1150	1164
DL	823	CLT	ATL	1040	1153	226
MQ	3460	ORD	DSM	1040	1153	299
MQ	2824	AEX	DFW	1040	1155	285
US	1808	ATL	CLT	1040	1155	226
WN	1592	DAL	SNA	1040	1155	1216
WN	4564	OAK	ONT	1040	1155	362
MQ	2954	DFW	GJT	1040	1158	773
EV	2520	CRP	DFW	1040	1200	354
OO	5646	SFO	SBA	1040	1203	262
WN	892	MCI	MKE	1040	1205	436
WN	182	OAK	SAN	1040	1205	446
WN	167	OAK	SNA	1040	1205	371
WN	1972	MCI	DAL	1040	1210	460
WN	3739	MCO	ATL	1040	1210	404
WN	1974	SAN	SMF	1040	1210	480
WN	342	LIT	MDW	1040	1220	544
DL	2267	ATL	SAN	1040	1233	1892
WN	200	BOS	MDW	1040	1240	861
OO	6415	DEN	GTF	1040	1240	624
AS	627	LAS	PDX	1040	1253	763
EV	2517	MLI	DFW	1040	1255	691
DL	2565	LAS	SLC	1040	1258	368
EV	5069	EVV	ATL	1040	1304	350
DL	1680	ATL	SFO	1040	1310	2139
OO	6380	SFO	BOI	1040	1316	522
WN	2373	MCO	ALB	1040	1320	1073
AA	1620	ORD	RDU	1040	1325	646
B6	152	MCO	BOS	1040	1326	1121
WN	838	MCO	MHT	1040	1330	1142
EV	4378	ELP	IAH	1040	1331	667
AA	380	ORD	LGA	1040	1340	733
WN	355	LAS	MAF	1040	1440	795
AS	794	SEA	ABQ	1040	1440	1180
UA	1224	LAX	HNL	1040	1441	2556
WN	1448	PHX	MDW	1040	1500	1444
OO	3468	SEA	OMA	1040	1540	1368
WN	629	DEN	TPA	1040	1555	1506
UA	1474	SFO	DFW	1040	1614	1464
OO	6283	SFO	MCI	1040	1615	1499
AS	788	SEA	MSY	1040	1730	2086
VX	406	LAX	JFK	1040	1905	2475
HA	157	OGG	HNL	1041	1117	100
OO	6253	ASE	DEN	1041	1140	125
OO	5367	ONT	SFO	1041	1210	363
EV	5903	LIT	ORD	1041	1230	552
UA	1747	MIA	EWR	1041	1336	1085
UA	1192	DEN	TPA	1041	1604	1506
EV	4174	FNT	ORD	1042	1049	223
OO	5625	MFR	SFO	1042	1227	329
OO	5540	TUS	DEN	1042	1242	639
NK	138	MCO	ACY	1042	1250	852
B6	971	LGA	FLL	1042	1354	1076
OO	5198	TVC	ORD	1043	1106	224
UA	1456	CLE	MCO	1043	1318	895
NK	639	DTW	TPA	1043	1321	983
UA	239	SFO	ORD	1043	1705	1846
OO	5582	IND	ORD	1044	1051	177
DL	2359	RSW	CVG	1044	1306	879
EV	4415	IAH	SAV	1044	1353	851
MQ	2931	ORD	BMI	1045	1133	116
AA	1662	DFW	ABQ	1045	1135	569
MQ	3184	GRK	DFW	1045	1140	134
OO	6270	SFO	RNO	1045	1144	192
AA	1292	DFW	TUL	1045	1145	237
US	479	PHX	SMF	1045	1146	647
AA	1629	SAT	DFW	1045	1155	247
AA	2389	TUL	DFW	1045	1200	237
OO	5654	ACV	SFO	1045	1211	250
AA	1513	ATL	DFW	1045	1215	731
UA	392	SFO	LAS	1045	1221	414
OO	5268	OMA	ORD	1045	1222	416
WN	2605	CHS	HOU	1045	1230	928
WN	473	FLL	ATL	1045	1240	581
DL	2226	FLL	ATL	1045	1240	581
AA	2226	TPA	DFW	1045	1240	929
DL	2601	HSV	ATL	1045	1243	151
US	2030	JAX	PHL	1045	1246	742
MQ	3242	ORD	OKC	1045	1253	693
US	625	PHX	BOI	1045	1254	735
MQ	3364	BHM	DFW	1045	1255	597
WN	207	TPA	CMH	1045	1255	829
DL	1286	ATL	LGA	1045	1256	762
OO	4808	PHX	SEA	1045	1257	1107
WN	2340	TPA	CAK	1045	1305	894
OO	6368	DEN	ICT	1045	1306	420
WN	914	MDW	LAX	1045	1315	1750
WN	700	OAK	BOI	1045	1315	511
WN	1452	RSW	IND	1045	1315	945
AA	1530	ORD	SJC	1045	1320	1829
WN	2261	MCO	FNT	1045	1325	1011
B6	62	PBI	LGA	1045	1329	1035
MQ	2780	MKE	DFW	1045	1330	853
WN	2078	SEA	SAN	1045	1330	1050
AA	1471	DEN	DFW	1045	1340	641
UA	589	ORD	IAH	1045	1342	925
DL	2310	DFW	ATL	1045	1346	731
AA	1460	PHX	DFW	1045	1400	868
VX	766	DAL	LGA	1045	1455	1381
WN	987	LAS	ICT	1045	1510	986
OO	6240	SFO	OKC	1045	1600	1384
WN	3849	OAK	MCI	1045	1605	1489
DL	1075	DEN	JFK	1045	1624	1626
UA	662	SFO	MSP	1045	1631	1589
UA	435	SFO	STL	1045	1635	1735
NK	730	LAX	ORD	1045	1642	1744
EV	4495	EWR	SAV	1046	1304	708
OO	4975	SFO	TUS	1046	1347	751
B6	597	BOS	SEA	1046	1407	2496
EV	4133	RIC	IAD	1047	1140	100
EV	5783	DAL	IAH	1047	1155	216
EV	4671	HRL	IAH	1047	1159	295
EV	4409	RIC	EWR	1047	1211	277
B6	218	CLT	JFK	1047	1230	541
NK	649	FLL	SJU	1047	1425	1046
UA	1751	ORD	MCO	1047	1429	1005
HA	346	LIH	HNL	1048	1121	102
OO	5309	SFO	ONT	1048	1206	363
EV	5792	ATL	IAH	1048	1210	689
DL	2218	LAX	HNL	1048	1435	2556
EV	5175	ATL	CID	1049	1202	694
DL	1391	ATL	HOU	1049	1216	696
OO	5354	DLH	ORD	1049	1223	397
OO	6249	LAS	SFO	1049	1233	414
DL	1640	ATL	DTW	1049	1254	594
DL	1256	GPT	ATL	1049	1304	352
B6	1410	JAX	BOS	1049	1314	1010
WN	943	DTW	MDW	1050	1100	228
DL	2451	ATL	MEM	1050	1120	332
EV	5082	ATL	BMI	1050	1135	533
WN	2027	SLC	LAX	1050	1140	590
US	531	PHX	RNO	1050	1142	601
US	415	PHX	SJC	1050	1146	621
OO	5365	LAX	SBP	1050	1149	156
US	493	PHX	OAK	1050	1152	646
MQ	3449	DFW	DRO	1050	1153	674
DL	2281	ATL	MKE	1050	1155	669
EV	2532	BPT	DFW	1050	1200	270
WN	1674	PHL	BNA	1050	1200	675
OO	6197	SFO	BUR	1050	1202	326
MQ	2838	ORD	COU	1050	1203	315
WN	1094	LAX	OAK	1050	1205	337
WN	1663	DAL	MCI	1050	1215	460
AA	1261	DFW	TUS	1050	1215	813
OO	2619	LAX	SMF	1050	1215	373
WN	690	OAK	LAS	1050	1215	407
WN	682	PDX	SMF	1050	1215	479
EV	5143	ROA	ATL	1050	1217	357
US	1849	DCA	CLT	1050	1220	331
AA	302	ORD	DEN	1050	1220	888
WN	677	SLC	PHX	1050	1220	507
MQ	3439	TYS	DFW	1050	1225	772
OO	5610	TUL	IAH	1050	1227	429
DL	2136	ATL	ELP	1050	1232	1282
DL	1230	ATL	MSP	1050	1235	907
DL	2484	RIC	ATL	1050	1241	481
WN	3483	BHM	MDW	1050	1245	570
MQ	3180	ORD	BIS	1050	1303	716
UA	322	SFO	SEA	1050	1303	679
DL	1240	ATL	TUS	1050	1308	1541
EV	5691	ORD	CLE	1050	1308	315
AA	1633	DFW	MSP	1050	1310	852
AA	2252	DFW	SEA	1050	1310	1660
WN	560	MCO	CAK	1050	1310	861
F9	1257	MIA	ORD	1050	1310	1197
DL	1849	ATL	SLC	1050	1312	1590
DL	1772	ATL	PHX	1050	1313	1587
WN	748	ATL	PHX	1050	1320	1587
WN	2366	LAS	SEA	1050	1325	867
AS	619	LAS	SEA	1050	1330	867
DL	2610	PBI	LGA	1050	1334	1035
UA	1140	RSW	CLE	1050	1334	1025
WN	450	FLL	IND	1050	1340	1005
AA	1201	ORD	AUS	1050	1340	978
OO	6497	DEN	LIT	1050	1355	771
F9	358	DEN	MKE	1050	1402	896
NK	197	LGA	FLL	1050	1404	1076
OO	6471	SFO	ABQ	1050	1411	896
AA	1693	ORD	MCO	1050	1420	1005
WN	753	FLL	SJU	1050	1430	1046
AA	2337	SAN	DFW	1050	1550	1171
DL	837	ATL	HNL	1050	1605	4502
WN	4482	DEN	PHL	1050	1620	1558
AA	23	SFO	DFW	1050	1620	1464
VX	112	LAX	IAD	1050	1835	2288
HA	207	KOA	HNL	1051	1135	163
EV	4609	CRP	IAH	1051	1152	201
EV	4399	MAF	IAH	1051	1219	429
DL	1089	IND	ATL	1051	1227	432
EV	5113	DHN	ATL	1051	1248	170
HA	208	HNL	KOA	1052	1136	163
EV	5163	ATL	TUL	1052	1202	674
OO	6498	BOI	LAX	1052	1205	674
DL	1555	ATL	LAX	1052	1300	1947
OO	5423	MRY	LAX	1053	1210	266
EV	4730	ORD	DAY	1053	1301	240
EV	4672	MEM	EWR	1053	1431	946
EV	4502	GSP	EWR	1054	1247	594
UA	325	FLL	CLE	1054	1350	1062
B6	533	BDL	TPA	1054	1409	1111
UA	1451	SFO	ORD	1054	1713	1846
UA	1278	SFO	ATL	1054	1835	2139
WN	1133	PHX	LAS	1055	1100	255
MQ	3263	DFW	ACT	1055	1128	89
EV	4599	IAH	HOB	1055	1137	501
MQ	3404	TYR	DFW	1055	1145	102
WN	389	ONT	LAS	1055	1150	197
OO	5436	ORD	SPI	1055	1155	174
OO	4848	DSM	MSP	1055	1201	232
DL	812	ATL	ORD	1055	1205	606
MQ	2776	HOU	DFW	1055	1205	247
WN	872	SDF	DEN	1055	1205	1024
EV	5489	ATL	GNV	1055	1209	300
WN	1009	LAX	SFO	1055	1210	337
MQ	3636	MLU	DFW	1055	1210	293
WN	954	SJC	LAS	1055	1215	386
WN	383	LAS	SJC	1055	1220	386
WN	777	MSY	DAL	1055	1220	436
WN	1190	STL	DEN	1055	1220	770
OO	4452	LAX	OAK	1055	1223	337
OO	4479	SLC	DEN	1055	1224	391
US	443	SLC	PHX	1055	1226	507
DL	1239	ATL	DFW	1055	1229	731
MQ	2790	DFW	HSV	1055	1233	603
MQ	3269	BNA	ORD	1055	1235	409
MQ	3491	CVG	DFW	1055	1235	812
MQ	2996	DFW	VPS	1055	1243	641
OO	2627	ICT	ORD	1055	1245	588
DL	1790	ATL	SAT	1055	1246	874
B6	842	SAV	JFK	1055	1253	718
B6	1083	BOS	RDU	1055	1304	612
WN	1646	SAN	PHX	1055	1305	304
WN	1602	SNA	PHX	1055	1305	338
DL	2641	TPA	CVG	1055	1308	773
AA	1615	MIA	DFW	1055	1312	1121
B6	1522	LGB	PDX	1055	1318	846
WN	199	DCA	DAL	1055	1325	1184
AA	2393	MCO	JFK	1055	1325	944
VX	784	SEA	LAX	1055	1325	954
AA	2279	AUS	ORD	1055	1330	978
MQ	3196	SAF	DFW	1055	1330	551
AS	490	SEA	SAN	1055	1330	1050
US	2002	MEM	CLT	1055	1332	511
WN	4922	MDW	CLT	1055	1340	584
US	2023	ORD	PHX	1055	1340	1440
OO	4966	SFO	SUN	1055	1348	587
WN	882	DAL	ATL	1055	1355	721
MQ	3373	DFW	LEX	1055	1358	785
AA	1646	JFK	MIA	1055	1359	1089
WN	1752	FLL	ALB	1055	1400	1204
EV	4372	ABQ	IAH	1055	1401	744
AA	1100	LGA	DFW	1055	1410	1389
AA	1133	LGA	MIA	1055	1410	1096
DL	439	JFK	SLC	1055	1416	1990
EV	6073	DEN	BNA	1055	1425	1014
B6	2269	BOS	FLL	1055	1430	1237
NK	239	BOS	RSW	1055	1433	1249
B6	965	BOS	RSW	1055	1434	1249
AA	2278	DFW	MIA	1055	1435	1121
AA	1448	DFW	BOS	1055	1520	1562
AA	123	DFW	HNL	1055	1525	3784
AA	1524	LAS	DFW	1055	1535	1055
UA	1169	LAX	IAH	1055	1606	1379
OO	6502	SFO	SAT	1055	1629	1482
UA	1461	SFO	IAH	1055	1645	1635
WN	341	SAN	MCO	1055	1825	2149
UA	324	LAX	IAD	1055	1842	2288
UA	760	SFO	JFK	1055	1925	2586
EV	5067	ATL	JAN	1056	1123	341
EV	5503	ATL	AGS	1056	1144	143
EV	5802	MFE	IAH	1056	1210	316
UA	500	SFO	PDX	1056	1248	550
UA	418	PBI	EWR	1056	1344	1023
UA	948	DEN	IAD	1056	1609	1452
UA	1710	MCO	ORD	1057	1247	1005
OO	5325	FWA	ORD	1058	1103	157
HA	143	HNL	LIH	1058	1136	102
EV	4647	LRD	IAH	1058	1210	301
EV	3927	PNS	IAH	1058	1244	489
B6	208	JFK	PWM	1059	1208	273
MQ	3370	DCA	JFK	1059	1212	213
UA	753	SFO	AUS	1059	1632	1504
WN	599	SDF	MDW	1100	1115	271
DL	1353	ATL	PNS	1100	1123	271
AS	65	WRG	PSG	1100	1126	31
OO	2587	TUS	LAX	1100	1135	451
MQ	3285	DFW	GRK	1100	1148	134
OO	7380	SLC	CDC	1100	1150	221
WN	395	TUL	DEN	1100	1150	541
EV	4872	ATL	AVL	1100	1153	164
OO	6322	SAN	LAX	1100	1157	109
OO	4607	SLC	GEG	1100	1157	546
OO	6604	PHX	YUM	1100	1159	160
WN	20	HOU	DAL	1100	1200	239
B6	2079	LAS	LGB	1100	1204	231
WN	19	DAL	HOU	1100	1205	239
AA	2456	DFW	SAT	1100	1205	247
MQ	3190	MAF	DFW	1100	1205	309
OO	4678	DLH	MSP	1100	1208	144
MQ	2837	DFW	CRP	1100	1213	354
OO	4672	MKE	MSP	1100	1214	297
US	2177	LGA	DCA	1100	1215	214
DL	2023	CHS	ATL	1100	1218	259
MQ	3296	LRD	DFW	1100	1220	396
WN	1076	SMF	LAX	1100	1220	373
US	1970	ORF	CLT	1100	1221	290
EV	5545	LGA	ROC	1100	1227	254
DL	1147	RDU	ATL	1100	1227	356
EV	2557	DFW	BRO	1100	1230	482
WN	978	HOU	DEN	1100	1230	883
UA	471	SFO	SAN	1100	1231	447
OO	6254	MCI	ORD	1100	1232	403
WN	4141	MSP	MDW	1100	1235	349
MQ	2925	ORD	MHK	1100	1238	501
AA	2464	DFW	BNA	1100	1240	631
WN	713	OAK	PDX	1100	1240	543
WN	647	PDX	OAK	1100	1240	543
WN	448	TPA	AUS	1100	1240	928
AS	358	SEA	SMF	1100	1243	605
DL	150	ATL	DCA	1100	1244	547
UA	1174	CLE	LAS	1100	1247	1824
DL	1134	PBI	ATL	1100	1248	545
DL	2127	ATL	FLL	1100	1255	581
WN	695	DCA	IND	1100	1255	500
DL	2025	BWI	ATL	1100	1258	577
WN	170	OAK	SEA	1100	1300	671
AA	1279	OMA	DFW	1100	1300	583
WN	456	PDX	LAS	1100	1300	763
DL	839	DCA	ATL	1100	1302	547
WN	1680	IND	TPA	1100	1310	837
WN	732	PHL	ATL	1100	1310	666
MQ	2783	ORD	SDF	1100	1313	287
WN	1527	BWI	MCO	1100	1320	787
DL	1562	ATL	BZN	1100	1325	1640
AA	1581	DCA	DFW	1100	1330	1192
DL	2076	MCO	LGA	1100	1330	950
MQ	3448	ORD	CHA	1100	1333	501
AA	1424	MIA	DEN	1100	1334	1709
AS	523	BUR	SEA	1100	1335	937
AA	2319	ORD	DFW	1100	1335	802
EV	4981	SHV	ATL	1100	1336	551
WN	891	PHL	MCO	1100	1340	861
DL	1947	LGA	ATL	1100	1344	762
WN	704	DCA	RSW	1100	1345	892
US	1810	MSY	CLT	1100	1347	651
DL	2583	FLL	JFK	1100	1354	1069
DL	1698	FLL	LGA	1100	1356	1076
UA	665	EWR	PBI	1100	1359	1023
WN	304	BWI	SAT	1100	1400	1407
WN	763	DEN	SAT	1100	1405	794
DL	1801	BOS	ATL	1100	1406	946
UA	387	ORD	LGA	1100	1408	733
UA	1507	EWR	LAX	1100	1419	2454
AA	19	JFK	LAX	1100	1420	2475
DL	12	SLC	MSP	1100	1434	991
DL	1844	DFW	DTW	1100	1435	986
EV	5169	IAH	DTW	1100	1444	1075
VX	1351	BOS	SFO	1100	1450	2704
AA	1120	DFW	LGA	1100	1510	1389
AA	1176	SNA	DFW	1100	1550	1205
DL	1912	SLC	ATL	1100	1633	1590
AA	1146	SEA	DFW	1100	1645	1660
US	720	PHX	CLT	1100	1654	1773
UA	1248	LAX	ORD	1100	1705	1744
UA	1485	LAS	CLE	1100	1757	1824
AA	204	LAS	MIA	1100	1838	2174
DL	2389	SFO	DTW	1100	1839	2079
B6	224	LAX	JFK	1100	1918	2475
US	403	SFO	PHL	1100	1918	2521
DL	2137	SLC	RNO	1101	1128	422
OO	4680	SLC	EUG	1102	1210	618
EV	3258	JAX	ORD	1102	1240	864
DL	1402	ATL	LAS	1102	1245	1747
DL	2445	ATL	PBI	1102	1255	545
DL	1379	BHM	ATL	1103	1305	134
UA	247	IAH	MIA	1103	1424	964
UA	342	SAT	IAH	1104	1203	191
B6	1633	BTV	JFK	1104	1222	266
OO	4669	SLC	BIL	1104	1235	387
UA	731	LAX	SFO	1104	1239	337
OO	5219	IAH	JAC	1104	1316	1265
EV	6183	DEN	LBB	1104	1331	456
EV	5608	TUL	DTW	1104	1417	789
WN	1093	TUS	SAN	1105	1120	368
WN	803	JAX	BNA	1105	1135	483
OO	6620	PHX	BFL	1105	1138	425
OO	5595	DEN	COS	1105	1146	73
WN	873	DAL	AUS	1105	1155	189
WN	1136	AUS	DAL	1105	1200	189
F9	1069	ATL	ORD	1105	1205	606
OO	6499	DEN	CPR	1105	1209	230
AA	1484	AUS	DFW	1105	1210	190
MQ	2983	AMA	DFW	1105	1215	312
DL	1052	ATL	JAX	1105	1215	270
OO	2586	FAT	LAX	1105	1215	209
MQ	3011	DFW	JAN	1105	1218	408
MQ	3318	DFW	LFT	1105	1218	351
WN	28	MSY	HOU	1105	1220	302
WN	657	SMF	LAS	1105	1220	397
WN	927	SNA	OAK	1105	1225	371
B6	390	DCA	BOS	1105	1229	399
WN	186	MDW	MCI	1105	1230	405
WN	898	OKC	STL	1105	1235	462
UA	1108	DEN	BIL	1105	1238	455
UA	769	SFO	LAX	1105	1238	337
OO	4493	SLC	BZN	1105	1238	347
EV	6071	DEN	SLC	1105	1240	391
OO	4783	SLC	HLN	1105	1243	402
OO	5390	DEN	GCC	1105	1244	313
US	490	CLT	EWR	1105	1247	529
OO	5554	DEN	SJC	1105	1248	948
OO	5293	DEN	SGU	1105	1249	517
AA	1046	MCI	DFW	1105	1250	460
UA	1128	DEN	PDX	1105	1256	991
MQ	2862	ORD	TOL	1105	1308	213
MQ	2888	MGM	DFW	1105	1310	622
B6	634	PBI	DCA	1105	1320	857
US	891	BOS	CLT	1105	1330	728
AA	2235	DTW	PHX	1105	1335	1671
DL	1210	ATL	SEA	1105	1344	2182
NK	219	ORD	ATL	1105	1355	606
EV	4518	ORD	CLT	1105	1400	599
DL	2619	MIA	LGA	1105	1403	1096
WN	4977	ROC	TPA	1105	1405	1079
MQ	2904	DFW	CVG	1105	1408	812
DL	1685	LGA	MCO	1105	1410	950
F9	923	TTN	RSW	1105	1411	1028
WN	329	BDL	TPA	1105	1415	1111
AA	1041	DFW	CLT	1105	1420	936
AA	324	DFW	MCO	1105	1430	985
B6	451	BOS	MCO	1105	1431	1121
DL	1617	LGA	MIA	1105	1431	1096
AA	2494	MIA	SJU	1105	1446	1045
B6	1133	MCO	SJU	1105	1449	1189
AA	271	LAX	OGG	1105	1457	2486
AS	895	SAN	HNL	1105	1519	2614
WN	896	LAS	BWI	1105	1830	2106
DL	1462	ATL	MSY	1106	1148	425
DL	2567	SLC	SAN	1106	1200	626
OO	7383	SLC	CPR	1106	1230	320
EV	4093	VPS	IAH	1106	1305	528
EV	5488	AEX	ATL	1106	1341	500
OO	6271	COS	DEN	1107	1153	73
OO	7429	SLC	PIH	1107	1203	150
OO	5166	DEN	FAT	1107	1234	844
EV	4121	EWR	RDU	1107	1252	416
DL	2173	ATL	MIA	1107	1308	594
EV	5219	PHF	ATL	1108	1301	508
EV	5956	CLT	IAH	1108	1307	912
UA	390	SEA	SFO	1108	1310	679
B6	938	BQN	JFK	1108	1359	1576
UA	282	DEN	EWR	1108	1647	1605
OO	6336	RNO	SFO	1109	1222	192
OO	4590	SLC	BOI	1109	1231	290
NK	847	ORD	DEN	1109	1251	888
OO	5163	DEN	SUN	1109	1257	557
UA	1563	SAN	ORD	1109	1710	1723
DL	1412	ATL	BNA	1110	1122	214
US	561	PHX	LAS	1110	1123	255
OO	6561	PHX	SBA	1110	1149	455
HA	280	LIH	OGG	1110	1155	201
EV	2523	DFW	SHV	1110	1200	190
OO	4555	SLC	RDM	1110	1200	525
OO	5405	CLD	LAX	1110	1201	86
OO	7398	SLC	VEL	1110	1203	132
WN	2018	LAS	BUR	1110	1215	223
OO	7362	CNY	SLC	1110	1219	184
OO	4739	FSD	MSP	1110	1222	196
MQ	3225	JFK	DCA	1110	1223	213
WN	1749	BUR	SMF	1110	1225	358
WN	340	MSP	DEN	1110	1225	680
OO	4506	SLC	SUN	1110	1225	222
VX	330	SFO	LAX	1110	1230	337
AS	43	ANC	BET	1110	1233	399
AA	35	DFW	HDN	1110	1235	769
WN	330	LAS	SMF	1110	1240	397
OO	5480	DEN	BFL	1110	1242	845
OO	6532	DEN	BUR	1110	1244	850
US	457	PHX	SLC	1110	1249	507
AS	75	SEA	JNU	1110	1252	909
WN	1754	ATL	DCA	1110	1255	547
DL	1495	ATL	BWI	1110	1300	577
OO	6473	DEN	EUG	1110	1310	996
WN	2045	MCO	DAY	1110	1325	808
OO	5417	DEN	HYS	1110	1327	298
WN	433	PBI	BWI	1110	1335	883
MQ	2758	ROW	DFW	1110	1335	435
AS	452	SEA	LAX	1110	1341	954
MQ	3222	MSN	DFW	1110	1345	821
AA	1054	ORD	SEA	1110	1345	1721
AS	509	SNA	SEA	1110	1349	978
WN	363	OAK	SLC	1110	1350	588
WN	1802	TPA	BDL	1110	1350	1111
B6	643	EWR	PBI	1110	1404	1023
DL	1282	MIA	DTW	1110	1421	1145
US	565	DFW	PHL	1110	1512	1303
WN	2481	PHX	BNA	1110	1525	1449
WN	863	LAX	SAT	1110	1555	1211
WN	2796	LAX	MDW	1110	1700	1750
WN	4304	PHX	EWR	1110	1755	2133
UA	1531	SFO	BOS	1110	1948	2704
OO	4774	SLC	PSC	1111	1204	521
EV	4731	ATW	ORD	1111	1207	160
OO	5575	PSP	SFO	1111	1247	421
UA	241	TPA	ORD	1111	1303	1012
DL	1470	CLE	ATL	1111	1308	554
EV	4737	GRB	ORD	1112	1215	173
OO	7381	SLC	COD	1112	1227	298
UA	1686	TPA	EWR	1112	1350	997
DL	1734	MSP	DTW	1112	1356	528
OO	4509	SLC	PSP	1113	1203	541
B6	684	MCO	JFK	1113	1343	944
B6	544	PBI	EWR	1113	1359	1023
HA	349	KOA	OGG	1114	1147	84
OO	7426	MSP	INL	1114	1230	255
UA	1074	DEN	SNA	1114	1244	846
UA	336	BOS	IAH	1114	1447	1597
UA	320	PHX	IAH	1114	1448	1009
EV	4576	MSY	EWR	1114	1503	1167
US	647	PHX	ONT	1115	1134	325
US	495	PHX	LAX	1115	1149	370
UA	1142	DEN	LAS	1115	1213	628
US	1797	CLT	MSY	1115	1215	651
WN	460	LAS	SAN	1115	1220	258
DL	640	OMA	MSP	1115	1222	282
B6	2401	BUF	JFK	1115	1231	301
MQ	3012	ORD	MSP	1115	1238	334
UA	1150	DEN	GEG	1115	1242	836
DL	959	MSP	MCI	1115	1245	393
DL	2343	MSP	STL	1115	1245	448
NK	695	LAS	OAK	1115	1246	407
US	2076	CLT	PHL	1115	1248	449
VX	905	LAS	SFO	1115	1250	414
DL	2411	CVG	ATL	1115	1253	373
B6	589	BOS	DCA	1115	1257	399
US	674	PHX	GEG	1115	1303	1020
US	2093	CLT	DFW	1115	1304	936
WN	621	ATL	BWI	1115	1305	577
MQ	3533	LGA	DTW	1115	1308	502
AA	1354	MCO	DFW	1115	1310	985
WN	2351	MDW	LAS	1115	1310	1521
WN	535	BOI	PHX	1115	1315	735
MQ	3043	ORD	FNT	1115	1318	223
WN	837	LAS	PHX	1115	1320	255
US	1929	BDL	CLT	1115	1327	644
B6	249	DCA	TPA	1115	1344	814
DL	1200	ATL	BOS	1115	1347	946
AA	1658	MIA	DCA	1115	1347	919
WN	1251	BNA	DCA	1115	1355	562
WN	588	MDW	DCA	1115	1355	601
VX	1205	ORD	SFO	1115	1355	1846
WN	48	LAX	ELP	1115	1400	715
DL	1705	LGA	MSY	1115	1400	1183
AA	1382	PBI	LGA	1115	1405	1035
AA	1556	PHL	MIA	1115	1406	1013
EV	4891	MSN	ATL	1115	1413	707
AA	1614	EWR	MIA	1115	1418	1085
DL	1870	ICT	ATL	1115	1420	782
AA	1030	DFW	JAX	1115	1425	918
DL	494	JFK	FLL	1115	1427	1069
WN	3177	LAX	DEN	1115	1435	862
WN	668	PDX	DEN	1115	1440	991
UA	1043	DEN	ORD	1115	1443	888
AA	1582	BOS	MIA	1115	1447	1258
OO	6443	SEA	DEN	1115	1447	1024
DL	1496	MSP	LGA	1115	1453	1020
AA	986	MIA	STT	1115	1458	1107
HA	33	LAX	OGG	1115	1500	2486
DL	665	MSP	MCO	1115	1527	1310
US	582	PHX	MKE	1115	1533	1460
B6	1032	HOU	BOS	1115	1550	1609
US	481	DEN	PHL	1115	1645	1558
UA	1430	SNA	ORD	1115	1712	1726
WN	4855	SFO	MKE	1115	1715	1845
DL	1602	LAS	ATL	1115	1758	1747
DL	1806	LAX	DTW	1115	1841	1979
US	1954	SFO	CLT	1115	1908	2296
US	796	LAX	PHL	1115	1919	2402
AA	12	LAX	JFK	1115	1950	2475
DL	1845	SLC	SFO	1116	1218	599
EV	4403	AMA	IAH	1116	1253	517
DL	1295	PIT	ATL	1116	1305	526
DL	1561	ATL	PHL	1116	1319	666
EV	4617	BNA	IAH	1116	1335	657
OO	4616	SLC	ORD	1116	1534	1250
UA	591	LAS	IAH	1116	1616	1222
DL	1187	SLC	SMF	1117	1202	532
OO	4589	SLC	LGB	1117	1223	588
DL	2598	SLC	SEA	1117	1229	689
